date,holiday
25-Mar,Ram Navami
30-Mar,Good Friday
14-Apr,Dr Ambedkar Jayanti
15-Apr,Himachal Day
18-Apr,Parashurama Jayanti
29-May,Buddha Purnima
15-Jun,Idul Fitr
16-Jun,Maharana Pratap Jayanti
28-Jun,Sant Guru Kabir Jayanti
15-Aug,Independence Day
22-Aug,Idul Juha
03-Sep,Janmashtami
20-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
19-Oct,Dussehra
24-Oct,Maharishi Valmiki Birthday
07-Nov,Deewali
23-Nov,Guru Nanak Birthday
_Jammu and Kashmir,
DATE,HOLIDAY
26-Jan,Republic Day
07-Mar,Maha Shivratri
24-Mar,Holi
14-Apr,Dr Ambedkar Jayanti
19-Apr,Mahavir Jayanti
21-May,Buddha Purnima
01-Jul,Jumat-ul-Wida
06-Jul,Idul Fitr
15-Aug,Independence Day
25-Aug,Janmashtami
12-Sep,Idul Juha
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
12-Oct,Muharram (10th Day)
30-Oct,Deewali
14-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Jharkhand ,
DATE,HOLIDAY
26-Jan,Republic Day
07-Mar,Maha Shivratri
24-Mar,Holi
25-Mar,Good Friday
19-Apr,Mahavir Jayanti
01-May,May Day
15-Aug,Independence Day
25-Aug,Janmashtami
12-Sep,Idul Juha
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
12-Oct,Muharram (10th Day)
30-Oct,Deewali
14-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Karnataka,
DATE,HOLIDAY
14-Jan,Sankranti
26-Jan,Republic Day
13-Feb,Maha Shivratri
18-Mar,Ugadi
29-Mar,Mahavir Jayanti
30-Mar,Good Friday
14-Apr,Dr Ambedkar Jayanti
19-Apr,Basava Jayanthi
01-May,May Day
15-Jun,Idul Fitr
15-Aug,Independence Day
22-Aug,Idul Juha
13-Sep,Ganesh Chaturthi
20-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
09-Oct,Mahalaya
18-Oct,Ayudha Puja
19-Oct,Dussehra
24-Oct,Maharishi Valmiki Birthday
01-Nov,Kannada Rajyothsava
06-Nov,Narak Chaturdashi
07-Nov,Deepavali
20-Nov,Id-e-Milad
_Kerala,
DATE,HOLIDAY
02-Jan,Mannam Jayanthi
26-Jan,Republic Day
07-Mar,Maha Shivratri
24-Mar,Maundy Thursday
25-Mar,Good Friday
14-Apr,Dr Ambedkar Jayanti
14-Apr,Vishu
01-May,May Day
16-May,Public Holiday
06-Jul,Idul Fitr
02-Aug,Karkkadaka Vavu
15-Aug,Independence Day
24-Aug,Sreekrishna Jayanthi
12-Sep,Idul Juha
13-Sep,First Onam
14-Sep,Thiruvonam
15-Sep,Third Onam
16-Sep,Sree Narayana Guru Jayanti
16-Sep,Fourth Onam
21-Sep,Sree Narayana Guru Samadhi
02-Oct,Mahatma Gandhi Birthday
10-Oct,Mahanavami
11-Oct,Vijaya Dashami
29-Oct,Deepavali
14-Nov,Guru Nanak Birthday
06-Dec,Public Holiday
12-Dec,Id-e-Milad
25-Dec,Christmas Day
_Madhya Pradesh,
DATE,HOLIDAY
26-Jan,Republic Day
07-Mar,Maha Shivratri
23-Mar,Doljatra
15-Apr,Ram Navami
19-Apr,Mahavir Jayanti
21-May,Buddha Purnima
07-Jul,Ramzan
15-Aug,Independence Day
18-Aug,Raksha Bandhan
25-Aug,Janmashtami
12-Sep,Idul Juha
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
12-Oct,Muharram (10th Day)
30-Oct,Deewali
14-Nov,Guru Nanak Birthday
13-Dec,Id-e-Milad
_Maharashtra,
DATE,HOLIDAY
26-Jan,Republic Day
19-Feb,Chhatrapati Shivaji Maharaj Jayanti
07-Mar,Maha Shivratri
24-Mar,Holi
25-Mar,Good Friday
08-Apr,Ugadi
14-Apr,Dr Ambedkar Jayanti
15-Apr,Ram Navami
19-Apr,Mahavir Jayanti
01-May,Maharashtra Day
21-May,Buddha Purnima
07-Jul,Ramzan
15-Aug,Independence Day
17-Aug,Parsi New Year
05-Sep,Ganesh Chaturthi
13-Sep,Bakrid
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
12-Oct,Muharram (10th Day)
30-Oct,Deewali
31-Oct,Deepavali
14-Nov,Guru Nanak Birthday
12-Dec,Id-e-Milad
_Manipur,
DATE,HOLIDAY
01-Jan,New Years Day
26-Jan,Republic Day
24-Mar,Holi
25-Mar,Good Friday
19-Apr,Mahavir Jayanti
01-May,May Day
06-Jul,Idul Fitr
15-Aug,Independence Day
12-Sep,Idul Juha
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
30-Oct,Deewali
14-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Meghalaya,
DATE,HOLIDAY
01-Jan,New Years Day
26-Jan,Republic Day
24-Mar,Holi
25-Mar,Good Friday
19-Apr,Mahavir Jayanti
06-Jul,Idul Fitr
15-Aug,Independence Day
12-Sep,Idul Juha
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
30-Oct,Deewali
14-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Mizoram,
DATE,HOLIDAY
01-Jan,New Years Day
26-Jan,Republic Day
25-Mar,Good Friday
06-Jul,Idul Fitr
15-Aug,Independence Day
12-Sep,Idul Juha
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
30-Oct,Deewali
12-Dec,Id-e-Milad
25-Dec,Christmas Day
_Nagaland,
DATE,HOLIDAY
01-Jan,New Years Day
26-Jan,Republic Day
24-Mar,Holi
25-Mar,Good Friday
19-Apr,Mahavir Jayanti
06-Jul,Idul Fitr
15-Aug,Independence Day
25-Aug,Janmashtami
12-Sep,Idul Juha
02-Oct,Mahatma Gandhi Birthday
11-Oct,Dussehra
30-Oct,Deewali
14-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Odisha,
DATE,HOLIDAY
23-Jan,Netaji Subhas Chandra Bose Jayanti
26-Jan,Republic Day
12-Feb,Vasant Panchami
05-Mar,Panchayati Raj Diwas
07-Mar,Maha Shivratri
09-Mar,Solar Eclipse
23-Mar,Doljatra
24-Mar,Holi
25-Mar,Good Friday
01-Apr,Odisha Day
13-Apr,Maha Vishuba Sankranti
14-Apr,Dr Ambedkar Jayanti
15-Apr,Ram Navami
14-Jun,Pahili Raja
