date,holiday
_Tamil Nadu,
01-Jan,New Year's Day
14-Jan,Pongal
16-Jan,Thiruvalluvar Day
17-Jan,Uzhavar Tirunal
26-Jan,Republic Day
06-Apr,Ugadi
14-Apr,Dr Ambedkar Jayanti
14-Apr,Tamil New Year
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
01-May,May Day
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
02-Sep,Ganesh Chaturthi
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
07-Oct,Ayudha Puja
08-Oct,Dussehra
27-Oct,Deepavali
10-Nov,Id-e-Milad
25-Dec,Christmas Day
_Andhra pradesh,
DATE,HOLIDAY
14-Jan,Sankranti
26-Jan,Republic Day
04-Mar,Maha Shivratri
21-Mar,Doljatra
06-Apr,Ugadi
14-Apr,Dr Ambedkar Jayanti
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
02-Sep,Ganesh Chaturthi
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
06-Oct,Durgastami
08-Oct,Dussehra
27-Oct,Deewali
10-Nov,Id-e-Milad
25-Dec,Christmas Day
_Arunachal Pradesh,
DATE,HOLIDAY
01-Jan,New Year's Day
14-Jan,Pongal
26-Jan,Republic Day
21-Mar,Holi
14-Apr,Bohag Bihu
19-Apr,Good Friday
19-May,Buddha Purnima
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Assam,
DATE,HOLIDAY
14-Jan,Sankranti
23-Jan,Netaji Subhas Chandra Bose Jayanti
26-Jan,Republic Day
31-Jan,Me-dam-me-phi
21-Mar,Doljatra
01-Apr,Bank Holiday
13-Apr,Bohag Bihu Holiday
14-Apr,Bohag Bihu
19-Apr,Good Friday
01-May,May Day
19-May,Buddha Purnima
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
02-Oct,Mahatma Gandhi Birthday
05-Oct,Maha Saptami
06-Oct,Durgastami
06-Oct,Navami of Durga Puja
08-Oct,Dussehra
27-Oct,Deepavali
27-Oct,Kali Puja
02-Nov,Chhath Puja
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Bihar,
DATE,HOLIDAY
26-Jan,Republic Day
21-Mar,Doljatra
21-Mar,Holi
22-Mar,Bihar Divas
14-Apr,Ashoka's Birth Anniversary
14-Apr,Dr Ambedkar Jayanti
14-Apr,Ram Navami
19-Apr,Good Friday
01-May,May Day
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
06-Oct,Mahanavami
08-Oct,Dussehra
27-Oct,Deewali
02-Nov,Chhath Puja
25-Dec,Christmas Day
_Chhattisgarh,
DATE,HOLIDAY
26-Jan,Republic Day
04-Mar,Maha Shivratri
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
19-May,Buddha Purnima
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
_Delhi,
DATE,HOLIDAY
26-Jan,Republic Day
21-Mar,Holi
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
19-May,Buddha Purnima
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
13-Oct,Maharishi Valmiki Birthday
27-Oct,Deewali
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Goa,
DATE,HOLIDAY
26-Jan,Republic Day
21-Mar,Holi
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
01-May,May Day
12-Aug,Idul Juha
15-Aug,Independence Day
02-Sep,Ganesh Chaturthi
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Gujarat,
DATE,HOLIDAY
14-Jan,Pongal
26-Jan,Republic Day
04-Mar,Maha Shivratri
21-Mar,Holi
07-Apr,Cheti Chand
14-Apr,Dr Ambedkar Jayanti
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
19-Apr,Good Friday
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
17-Aug,Parsi New Year
24-Aug,Janmashtami
02-Sep,Ganesh Chaturthi
10-Sep,Muharram (10th Day)
14-Sep,Raksha Bandhan
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
28-Oct,Vikram Samvat New Year
28-Oct,Vikram Samvat New Year
29-Oct,Bhai Bij
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Haryana,
DATE,HOLIDAY
25-Jan,Sir Chhotu Ram Jayanti
26-Jan,Republic Day
10-Feb,Vasant Panchami
19-Feb,Guru Ravidas Birthday
28-Feb,Maharshi Dayanand Saraswati Jayanti
04-Mar,Maha Shivratri
21-Mar,Holi
23-Mar,"Shaheedi Diwas of Bhagat Singh, Rajguru & Sukhdev"
14-Apr,Dr Ambedkar Jayanti
14-Apr,Vaisakhi
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
07-May,Parashurama Jayanti
19-May,Buddha Purnima
24-May,Maharana Pratap Jayanti
05-Jun,Idul Fitr
17-Jun,Sant Guru Kabir Jayanti
31-Jul,Martyrdom Day of Shaheed Udham Singh
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
01-Sep,Teej
10-Sep,Muharram (10th Day)
23-Sep,Haryana's Heroes' Martyrdom Day
29-Sep,Maharaja Agrasen Jayanati
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
13-Oct,Maharishi Valmiki Birthday
27-Oct,Deewali
28-Oct,Vishvakarma Day
01-Nov,Haryana Day
02-Nov,Chhath Puja
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
26-Dec,Shaheed Udham Singh's Birthday
_Himachal Pradesh,
DATE,HOLIDAY
25-Jan,Statehood Day
26-Jan,Republic Day
